 No,       Img X,       Img Y, RA cat (deg), Dec cat (deg),    Mag, -2.5*LSP,    Cat X,   Cat Y, RA img (deg), Dec img (deg), Err amin,  Err px, Direction
 38, 1333.574807, 1714.644310,   275.264167,    +72.732778,  +3.57,    -5.97,  1332.87, 1715.22,   275.394171,    +72.754899,     2.67,    0.91,    +141.0
 39, 1947.320729,  624.023884,   305.252917,    -14.781389,  +3.08,    -6.17,  1947.35,  624.61,   305.226059,    -14.850079,     4.41,    0.59,     +86.8
 40, 1919.758706,  658.726837,   304.513750,    -12.544722,  +3.57,    -6.61,  1919.65,  657.92,   304.534942,    -12.568187,     1.88,    0.81,     -97.4
 41, 1817.918534,  833.901761,   302.826250,     -0.821389,  +3.23,    -6.55,  1817.97,  833.93,   302.837461,     -0.785299,     2.27,    0.06,     +32.5
 42, 1629.123454,  833.782139,   291.374583,     +3.114722,  +3.36,    -5.35,  1629.69,  834.35,   291.347054,     +3.150323,     2.70,    0.80,     +44.8
 43, 1519.345383,  970.069343,   286.352500,    +13.863333,  +2.99,    -7.19,  1519.38,  971.21,   286.358888,    +13.896719,     2.04,    1.14,     +88.2
 44, 1098.780456,  406.775166,   257.594583,    -15.724722,  +2.43,    -6.44,  1099.64,  408.45,   257.659209,    -15.709300,     3.85,    1.88,     +62.7
 45, 1105.635742, 2348.940005,   127.566250,    +60.718056,  +3.36,    -5.92,  1105.31, 2350.17,   127.508367,    +60.630688,     5.51,    1.28,    +104.9
 46,  755.523026, 1484.947368,   218.019583,    +38.308333,  +3.03,    -6.21,   755.42, 1485.11,   218.009096,    +38.294013,     0.99,    0.19,    +122.7
 47,  846.797688, 1452.612717,   225.486667,    +40.390556,  +3.50,    -5.60,   847.02, 1452.69,   225.504341,    +40.410007,     1.42,    0.23,     +20.7
 48, 1754.068479, 2007.124507,    21.454167,    +60.235278,  +2.68,    -7.63,  1753.26, 2005.72,    21.389137,    +60.265977,     2.67,    1.62,    -120.0
 49, 1698.447676, 2049.623010,    28.598750,    +63.670000,  +3.38,    -6.01,  1697.54, 2048.25,    28.554416,    +63.692290,     1.78,    1.64,    -123.4
 50, 2163.776455, 1720.108921,     2.097083,    +29.090556,  +2.06,    -8.11,  2163.62, 1719.53,     2.042224,    +29.085804,     2.89,    0.60,    -105.5
 51, 2378.549679, 1634.993590,     3.309167,    +15.183611,  +2.83,    -6.99,  2379.40, 1634.90,     3.332574,    +15.137891,     3.06,    0.85,      -6.2
 52, 1400.568298,  684.322035,   275.327500,     -2.898889,  +3.26,    -6.05,  1400.31,  683.13,   275.334468,     -2.925350,     1.64,    1.22,    -102.4
 53, 1589.284946,  689.311828,   286.562083,     -4.882500,  +3.44,    -5.67,  1589.15,  688.25,   286.582984,     -4.898107,     1.56,    1.07,     -97.1
